Threads: [{'140255810307904': 0, '140255801911040': 1, '140255810303744': 2}]
['STORE', '0xb823d0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823c8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823c0', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb823c0', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb823b8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823b0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823a8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823a0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82398', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82390', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82388', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82380', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82380', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82378', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82370', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82368', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82360', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82358', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82350', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82348', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82340', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82340', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82338', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82330', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82328', '0x7f8fcc001e70', 0, '544']
['STORE', '0xb82320', '0x7f8fcc001e88', 0, '545']
['STORE', '0xb82328', '0x7f8fcc001e80', 0, '546']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82300', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82306', -1, 0, '564']
['STORE', '0xb823f8', -1, 0, '517']
['STORE', '0xb823e8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823e0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823d8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823d0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823c8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823c0', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb823c0', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb823b8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823b0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823a8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823a0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82398', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82390', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82388', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82380', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82380', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82378', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82370', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82368', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82360', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82358', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82350', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82348', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82340', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82340', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82338', '0x7f8fcc001e70', 0, '544']
['STORE', '0xb82330', '0x7f8fcc001e88', 0, '545']
['STORE', '0xb82338', '0x7f8fcc001e80', 0, '546']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82300', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82306', -1, 0, '564']
['STORE', '0xb82408', -1, 0, '517']
['STORE', '0xb823f8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823f0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823e8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823e0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823d8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823d0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823c8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823c0', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb823c0', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb823b8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823b0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823a8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823a0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82398', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82390', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82388', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82380', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82380', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82378', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82370', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82368', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82360', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82358', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82350', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82348', '0x7f8fcc001e70', 0, '544']
['STORE', '0xb82340', '0x7f8fcc001e88', 0, '545']
['STORE', '0xb82348', '0x7f8fcc001e80', 0, '546']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82340', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82306', -1, 0, '564']
['STORE', '0xb82418', -1, 0, '517']
['STORE', '0xb82408', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82400', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82400', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb823f8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823f0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823e8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823e0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823d8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823d0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823c8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823c0', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb823c0', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb823b8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823b0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823a8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823a0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82398', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82390', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82388', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82380', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82380', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82378', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82370', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82368', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82360', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82358', '0x7f8fcc001e70', 0, '544']
['STORE', '0xb82350', '0x7f8fcc001e88', 0, '545']
['STORE', '0xb82358', '0x7f8fcc001e80', 0, '546']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82340', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82306', -1, 0, '564']
['STORE', '0xb82428', -1, 0, '517']
['STORE', '0xb82418', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82410', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82408', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82400', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82400', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb823f8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823f0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823e8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823e0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823d8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823d0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823c8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823c0', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb823c0', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb823b8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823b0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb823a8', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb823a0', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82398', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82390', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82388', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82380', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82380', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82378', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82370', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82368', '0x7f8fcc001e70', 0, '544']
['STORE', '0xb82360', '0x7f8fcc001e88', 0, '545']
['STORE', '0xb82368', '0x7f8fcc001e80', 0, '546']
['FENCE', 0, -1, 0, '65']
['FLUSH', '0xb82340', -1, 0, '75']
['FENCE', 0, -1, 0, '65']
['STORE', '0xb82306', -1, 0, '564']
['STORE', '0xb82438', -1, 0, '517']
['STORE', '0xb82428', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82420', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82418', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82410', '0x7f8fcc001e98', 0, '527']
['STORE', '0xb82408', '0x7f8fcc001e70', 0, '526']
['STORE', '0xb82400', '0x7f8fcc001e98', 0, '527']
['FENCE', 0, -1, 0, '65']
